AGS,pop_density,male,female,foreign,employed,unemployed,avg_income,avg_age,age 0-17,age 18-24,age 25-44,age 45-64,age 65+,protestant,catholic,religion_other
01000000,177.22765697272584,0.4858664935311678,0.5141335064688323,0.04180500900140315,0.34754308656167826,0.03572991005025144,32200.000000000004,44.5,16.7,7.7,23.5,29.9,22.1,0.5152781006807211,0.05984209956791122,0.4248797997513677
01001000,1449.7356362354599,0.4927666609934596,0.5072333390065404,0.062352597923606215,0.32843006151377374,0.062328284179046414,27000.0,43.0,15.2,11.3,26.3,26.6,20.6,0.49681489946266627,0.06345887330107709,0.43972622723625665
01002000,1987.206068268015,0.48139807109957505,0.518601928900425,0.07028102230026041,0.3393176748012995,0.053999033005064,27500.0,41.8,14.3,11.6,30.2,25.6,18.3,0.4129025964662273,0.07366126337040148,0.5134361401633712
01003000,981.7702254796694,0.47470102945721687,0.5252989705427831,0.06256151779558261,0.33178954375787545,0.052347780604360336,27600.0,44.9,15.0,8.4,25.4,28.1,23.1,0.482632367276099,0.08460569173343477,0.4327619409904662
01004000,1078.444785704314,0.4881616590506026,0.5118383409493974,0.0603373506453158,0.3333505935351914,0.056647982498155315,26200.0,44.4,16.6,8.7,23.6,28.9,22.3,0.49652422685083303,0.06497171484420511,0.43850405830496186
01051000,93.76159765841089,0.4893801344286781,0.5106198655713219,0.023554891710231517,0.3199701269604182,0.03896191187453323,29700.0,45.2,17.3,7.5,21.7,30.3,23.3,0.6456908140403286,0.04462285287528006,0.30968633308439136
01051001,206.36682242990653,0.483158788564959,0.5165581658647043,0.026323238041324654,0.2884234361732239,0.046136427964902346,28200.0,43.9,20.0,7.6,21.6,27.8,23.1,0.6481743560713275,0.0350976507217662,0.3164449476365695
01051002,32.80346820809248,0.5242290748898678,0.4801762114537445,,0.3568281938325991,0.06607929515418502,30600.0,42.2,20.1,4.7,26.2,35.0,14.0,0.6960352422907489,0.02643171806167401,0.28193832599118945
01051003,67.80595369349504,0.4991869918699187,0.4991869918699187,0.01951219512195122,0.37073170731707317,0.02926829268292683,28200.0,43.8,16.7,9.8,21.1,35.0,17.4,0.6780487804878049,0.030894308943089432,0.2894308943089431
01051004,77.39495798319328,0.4733984799131379,0.5244299674267101,0.010857763300760043,0.33767643865363733,0.02823018458197611,27600.0,47.0,15.7,7.7,21.6,29.5,25.5,0.7220412595005429,0.009771986970684038,0.26601520086862107
01051005,33.46379647749511,0.5906432748538012,0.4093567251461988,0.017543859649122806,0.4093567251461988,0.029239766081871343,25700.0,45.3,16.4,4.5,28.2,27.7,23.2,0.5730994152046783,0.05263157894736842,0.3742690058479532
01051006,35.22727272727273,0.4987593052109181,0.5,0.011166253101736972,0.34491315136476425,0.033498759305210915,30700.0,43.9,19.1,7.7,21.2,30.9,21.0,0.7196029776674938,0.018610421836228287,0.26054590570719605
01051008,12.878787878787879,0.35294117647058826,0.6470588235294118,,0.11764705882352941,0.029411764705882353,31000.0,47.5,27.0,,16.2,24.3,32.4,0.7058823529411765,0.0,0.29411764705882354
01051010,34.266886326194395,0.4807692307692308,0.5192307692307693,0.019230769230769232,0.3701923076923077,0.02403846153846154,27100.0,37.5,27.2,9.7,26.7,22.1,14.3,0.7259615384615384,0.0,0.27403846153846156
01051011,196.7198038013489,0.4957924263674614,0.5042075736325385,0.03116721209287829,0.33909926757051584,0.04371201496026181,33900.0,45.5,16.6,7.2,21.7,31.0,23.4,0.5663082437275986,0.05976312918809412,0.3739286270843073
01051012,74.22680412371133,0.5148148148148148,0.4861111111111111,0.011111111111111112,0.30092592592592593,0.024074074074074074,28300.0,42.2,21.2,8.0,21.2,31.2,18.3,0.7138888888888889,0.03148148148148148,0.25555555555555554
01051013,565.6839622641509,0.45945382530748385,0.5403377110694184,0.03668959766520742,0.2516155930790077,0.0402334792578695,25100.0,53.9,10.7,5.2,14.5,30.5,39.1,0.5993329164060871,0.06920992286845945,0.33124869710235566
01051014,124.0418118466899,0.4691011235955056,0.5308988764044944,0.011235955056179775,0.26685393258426965,0.03932584269662921,29900.0,51.3,12.7,6.2,14.3,34.0,32.9,0.6095505617977528,0.056179775280898875,0.3342696629213483
01051015,69.70212765957447,0.49572649572649574,0.503052503052503,0.003663003663003663,0.34676434676434675,0.030525030525030524,31500.0,43.1,20.8,6.7,22.2,31.0,19.3,0.6568986568986569,0.029304029304029304,0.3125763125763126
01051016,375.6901157613535,0.47878644228490164,0.5212135577150984,0.020621000237022992,0.28419056648494906,0.04787864422849016,29900.0,46.8,17.0,6.9,19.7,29.3,27.1,0.6146006162597772,0.051196966105712255,0.33420241763451053
01051017,27.254707631318137,0.5309090909090909,0.4763636363636364,0.01090909090909091,0.41818181818181815,0.03636363636363636,23600.0,45.0,16.7,7.8,20.2,34.4,20.9,0.7527272727272727,0.05454545454545454,0.2
01051019,35.59944878272852,0.5148387096774194,0.48516129032258065,0.015483870967741935,0.28903225806451616,0.03354838709677419,25800.0,43.2,21.2,5.6,21.8,30.5,20.9,0.7303225806451613,0.023225806451612905,0.24645161290322581
01051020,45.07575757575758,0.511204481792717,0.48739495798319327,0.008403361344537815,0.31512605042016806,0.02661064425770308,26100.0,46.8,17.0,6.7,19.3,30.5,26.4,0.7296918767507002,0.028011204481792718,0.24089635854341737
01051021,102.14477211796246,0.5196850393700787,0.4816272965879265,0.013123359580052493,0.35170603674540685,0.023622047244094488,29900.0,41.2,21.9,8.3,22.4,31.0,16.3,0.7073490813648294,0.027559055118110236,0.2664041994750656
01051022,93.73219373219374,0.5091185410334347,0.4939209726443769,0.00911854103343465,0.3586626139817629,0.0182370820668693,31500.0,44.1,18.5,6.9,21.9,32.9,19.9,0.7264437689969605,0.031914893617021274,0.24468085106382978
01051023,79.41176470588235,0.499194847020934,0.5024154589371981,,0.2834138486312399,0.03542673107890499,27700.0,43.0,20.8,7.2,22.6,29.0,20.5,0.7455716586151369,0.03864734299516908,0.21739130434782608
01051024,151.7915309446254,0.4949928469241774,0.505722460658083,0.006437768240343348,0.3719599427753934,0.03719599427753934,30000.0,41.6,21.1,6.5,25.6,28.8,17.9,0.7045779685264664,0.02575107296137339,0.2703862660944206
01051026,60.35965598123534,0.5,0.5,0.0038860103626943004,0.35233160621761656,0.029792746113989636,27100.0,44.0,18.9,7.3,20.4,32.9,20.5,0.7344559585492227,0.015544041450777202,0.25
01051027,29.267484255883325,0.507361268403171,0.49263873159682897,0.010192525481313703,0.3567383918459796,0.02944507361268403,31600.0,42.1,20.0,7.6,25.0,29.9,17.5,0.6613816534541337,0.020385050962627407,0.318233295583239
01051028,57.84023668639053,0.5012787723785166,0.49872122762148335,0.01278772378516624,0.32864450127877237,0.03324808184143223,28300.0,41.3,20.4,8.8,23.5,30.1,17.3,0.6892583120204604,0.034526854219948847,0.27621483375959077
01051030,28.276573787409703,0.4927007299270073,0.5109489051094891,0.010948905109489052,0.3248175182481752,0.032846715328467155,34700.0,40.3,23.7,6.4,24.1,31.2,14.7,0.7627737226277372,0.032846715328467155,0.20802919708029197
01051032,36.24031007751938,0.5080213903743316,0.4919786096256685,0.02406417112299465,0.339572192513369,0.029411764705882353,27100.0,44.7,19.6,7.1,18.0,33.6,21.7,0.7245989304812834,0.016042780748663103,0.25935828877005346
01051033,6.2645011600928076,0.5555555555555556,0.4444444444444444,,0.2777777777777778,,35900.0,47.8,15.7,7.8,17.6,27.5,31.4,0.7777777777777778,0.0,0.2222222222222222
01051034,46.69165885660731,0.48615014050582095,0.5142513046969088,0.018867924528301886,0.269771176234444,0.0293054997992774,29800.0,48.3,15.2,5.5,19.9,30.4,29.1,0.6864712966680048,0.043356081894821354,0.27057406663990363
01051035,28.372093023255815,0.4918032786885246,0.5081967213114754,0.03278688524590164,0.3551912568306011,0.04371584699453552,29300.0,45.8,16.7,4.4,22.8,35.6,20.6,0.6502732240437158,0.06557377049180328,0.28415300546448086
01051036,25.159914712153515,0.5423728813559322,0.4661016949152542,,0.2627118644067797,0.01694915254237288,41000.0,45.4,20.7,3.6,19.8,32.4,23.4,0.6440677966101694,0.025423728813559324,0.3389830508474576
01051037,47.40384615384615,0.4827586206896552,0.513184584178499,0.006085192697768763,0.34279918864097364,0.02636916835699797,25600.0,44.9,17.5,6.2,21.4,32.8,22.1,0.6693711967545639,0.08924949290060852,0.23732251521298176
01051038,11.518987341772151,0.6263736263736264,0.37362637362637363,,0.23076923076923078,0.02197802197802198,23400.0,47.3,16.9,1.3,24.7,27.3,29.9,0.6373626373626373,0.0989010989010989,0.26373626373626374
01051039,67.54966887417218,0.5024509803921569,0.49754901960784315,0.007352941176470588,0.3627450980392157,0.02696078431372549,27500.0,44.1,15.8,9.3,21.5,32.4,21.0,0.7279411764705882,0.0392156862745098,0.23284313725490197
01051040,,,,,,,,,,,,,,,,
01051043,14.731051344743276,0.45228215767634855,0.5477178423236515,0.024896265560165973,0.4066390041493776,0.029045643153526972,35000.0,40.0,29.4,5.0,21.8,25.2,18.5,0.6804979253112033,0.03734439834024896,0.2821576763485477
01051044,649.6090084454177,0.47125385208012327,0.5287461479198767,0.04449152542372881,0.31741140215716485,0.05937018489984592,28100.0,44.3,15.8,9.9,24.2,27.5,22.7,0.5635593220338984,0.0647630970724191,0.3716775808936826
01051045,25.783475783475787,0.4972375690607735,0.4972375690607735,0.022099447513812154,0.19337016574585636,0.027624309392265192,42500.0,41.1,27.8,6.1,23.3,21.7,21.1,0.7513812154696132,0.016574585635359115,0.2265193370165746
01051046,79.63286713286713,0.5016465422612514,0.4972557628979144,0.003293084522502744,0.35236004390779363,0.025246981339187707,30500.0,42.4,19.9,8.2,21.6,32.4,17.9,0.6684961580680571,0.03951701427003293,0.29088913282107576
