AGS,year,Land,post_2010,post_2014,Union,SPD,Grüne,FDP,Linke,Andere
03101000,2008,NI,0,0,36.86150307760465,31.24546371442845,11.023763066858958,8.087549133274893,9.549529168905353,3.232191838927693
03101000,2013,NI,1,0,29.666789234998515,33.671271733991695,18.608499238325365,8.250599709337957,4.246117210344767,5.556722873001699
03101000,2017,NI,1,1,26.342641209886143,37.60470327525902,11.86237462480465,7.904115365851641,6.7415265799548525,9.544638944243697
03102000,2008,NI,0,0,37.47606281118345,39.2689582535427,4.2919379548065875,5.740137878207583,8.828035235541938,4.394867866717733
03102000,2013,NI,1,0,30.880127234948567,44.07562270733397,9.252751199240695,6.053920939896877,4.135135828438037,5.602442090141857
03102000,2017,NI,1,1,24.445995043430138,45.203435913476575,4.266018623228508,5.319891244195279,4.862731888068141,15.901927287601355
03103000,2008,NI,0,0,43.12114096877989,31.515783981215755,6.509261674928254,6.691886250978346,7.863727280633098,4.29819984346465
03103000,2013,NI,1,0,37.6298948494763,35.81291026195033,10.901907525155874,7.3420169969339675,3.210074695968887,5.103195670514641
03103000,2017,NI,1,1,29.942107294480895,43.21111539945967,5.754534928598996,6.0922423774604395,4.525279814743342,10.474720185256658
03151000,2008,NI,0,0,45.71776938124715,30.467347321596055,6.253182195782084,6.957954819519253,6.7382158265669805,3.8655304552884746
03151000,2013,NI,1,0,39.35016662394258,32.50320430658805,11.817482696744424,8.227377595488337,2.641630351192002,5.460138426044605
03151000,2017,NI,1,1,33.91161259990597,38.97390691114245,7.232016925246826,6.610249177244946,3.6800658204043253,9.592148566055478
03151001,2008,NI,0,0,47.568208778173194,30.96085409252669,6.287069988137604,7.11743772241993,4.863582443653618,3.202846975088968
03151001,2013,NI,1,0,37.80617678381257,35.99574014909478,13.738019169329075,6.602768903088392,1.9169329073482428,3.940362087326944
03151001,2017,NI,1,1,34.12526997840173,40.60475161987041,8.099352051835854,5.615550755939525,2.915766738660907,8.639308855291576
03151002,2008,NI,0,0,46.49122807017544,28.728070175438596,7.236842105263158,6.359649122807018,7.675438596491229,3.508771929824561
03151002,2013,NI,1,0,36.57505285412262,35.095137420718814,14.799154334038056,6.765327695560254,2.3255813953488373,4.439746300211417
03151002,2017,NI,1,1,31.808278867102395,40.95860566448802,7.4074074074074066,6.535947712418301,4.139433551198257,9.15032679738562
03151003,2008,NI,0,0,52.46636771300448,27.130044843049326,5.605381165919283,5.381165919282512,5.15695067264574,4.260089686098654
03151003,2013,NI,1,0,50.35294117647059,29.64705882352941,9.176470588235293,6.352941176470588,1.8823529411764703,2.588235294117647
03151003,2017,NI,1,1,40.33816425120773,42.270531400966185,3.3816425120772946,4.5893719806763285,2.898550724637681,6.521739130434782
03151004,2008,NI,0,0,36.78474114441417,35.694822888283376,5.449591280653951,5.722070844686648,10.354223433242508,5.994550408719346
03151004,2013,NI,1,0,32.87981859410431,39.909297052154194,14.285714285714285,5.442176870748299,1.8140589569160999,5.6689342403628125
03151004,2017,NI,1,1,29.471544715447155,42.073170731707314,6.910569105691057,4.67479674796748,5.487804878048781,11.38211382113821
03151005,2008,NI,0,0,51.37138621200889,26.167531504818385,3.9288361749444034,7.3387694588584145,7.635285396590066,3.558191252779837
03151005,2013,NI,1,0,40.34267912772586,27.41433021806853,10.202492211838006,11.526479750778815,3.2710280373831773,7.242990654205607
03151005,2017,NI,1,1,36.140637775960755,36.95829926410466,5.233033524121014,5.560098119378577,4.333605887162715,11.774325429272281
03151006,2008,NI,0,0,44.00191938579655,34.30902111324376,6.333973128598848,4.942418426103647,6.765834932821497,3.6468330134357005
03151006,2013,NI,1,0,41.00686498855835,33.77574370709382,10.983981693363845,4.2105263157894735,2.2883295194508007,7.7345537757437075
03151006,2017,NI,1,1,31.364653243847872,42.5503355704698,6.2192393736017895,5.413870246085011,3.803131991051454,10.64876957494407
03151007,2008,NI,0,0,54.285714285714285,23.759398496240603,4.661654135338346,6.616541353383458,6.015037593984962,4.661654135338346
