,ADE,GF,BSG,RS,AGS,SDV_RS,GEN,BEZ,IBZ,BEM,NBD,SN_L,SN_R,SN_K,SN_V1,SN_V2,SN_G,FK_S3,NUTS,RS_0,AGS_0,WSK,EWZ,DEBKG_ID,rs_dup
10108,6,4,1,010010000000,01001000,010010000000,Flensburg,Stadt,60,kreisfrei,ja,01,0,01,00,00,000,R,DEF01,010010000000,01001000,2008-01-01,83971,DEBKGDL20000E5MA,True
81,6,2,1,010010000000,01001000,010010000000,Flensburg,Stadt,60,kreisfrei,ja,01,0,01,00,00,000,R,DEF01,010010000000,01001000,2008-01-01,0,DEBKGDL20000003H,True
83,6,2,1,010020000000,01002000,010020000000,Kiel,Stadt,60,kreisfrei,ja,01,0,02,00,00,000,R,DEF02,010020000000,01002000,2004-12-31,0,DEBKGDL20000E6XX,True
9982,6,4,1,010020000000,01002000,010020000000,Kiel,Stadt,60,kreisfrei,ja,01,0,02,00,00,000,R,DEF02,010020000000,01002000,2004-12-31,241533,DEBKGDL20000004J,True
10930,6,4,1,010030000000,01003000,010030000000,Lübeck,Stadt,60,kreisfrei,ja,01,0,03,00,00,000,R,DEF03,010030000000,01003000,2006-02-01,212958,DEBKGDL20000DYMA,False
9990,6,4,1,010040000000,01004000,010040000000,Neumünster,Stadt,60,kreisfrei,ja,01,0,04,00,00,000,R,DEF04,010040000000,01004000,1970-04-26,77058,DEBKGDL20000E4SA,False
102,6,2,1,010510011011,01051011,010510011011,Brunsbüttel,Stadt,61,,ja,01,0,51,00,11,011,R,DEF05,010510011011,01051011,2009-01-01,0,DEBKGDL20000QMG2,True
11311,6,4,1,010510011011,01051011,010510011011,Brunsbüttel,Stadt,61,,ja,01,0,51,00,11,011,R,DEF05,010510011011,01051011,2009-01-01,12721,DEBKGDL20000E2IK,True
6870,6,4,1,010510044044,01051044,010510044044,Heide,Stadt,61,,ja,01,0,51,00,44,044,R,DEF05,010510044044,01051044,2009-01-01,21105,DEBKGDL20000E0M5,False
11094,6,4,1,010515163003,01051003,010515163003,Averlak,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,003,R,DEF05,010515163003,01051003,2008-01-01,581,DEBKGDL20000E6BB,False
6868,6,4,1,010515163010,01051010,010515163010,Brickeln,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,010,R,DEF05,010515163010,01051010,2008-01-01,210,DEBKGDL20000E62A,False
8617,6,4,1,010515163012,01051012,010515163012,Buchholz,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,012,R,DEF05,010515163012,01051012,2008-01-01,1020,DEBKGDL20000E1TU,False
6860,6,4,1,010515163016,01051016,010515163016,Burg (Dithmarschen),Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,016,R,DEF05,010515163016,01051016,2008-01-01,4187,DEBKGDL20000E2BN,False
6866,6,4,1,010515163022,01051022,010515163022,Dingen,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,022,R,DEF05,010515163022,01051022,2008-01-01,642,DEBKGDL20000DZOW,False
6863,6,4,1,010515163024,01051024,010515163024,Eddelak,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,024,R,DEF05,010515163024,01051024,2008-01-01,1349,DEBKGDL20000E26D,False
6867,6,4,1,010515163026,01051026,010515163026,Eggstedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,026,R,DEF05,010515163026,01051026,2008-01-01,782,DEBKGDL20000E5RQ,False
11095,6,4,1,010515163032,01051032,010515163032,Frestedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,032,R,DEF05,010515163032,01051032,2008-01-01,378,DEBKGDL20000E6BC,False
6861,6,4,1,010515163037,01051037,010515163037,Großenrade,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,037,R,DEF05,010515163037,01051037,2008-01-01,490,DEBKGDL20000E2BO,False
11096,6,4,1,010515163051,01051051,010515163051,Hochdonn,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,051,R,DEF05,010515163051,01051051,2008-01-01,1174,DEBKGDL20000E6IC,False
6862,6,4,1,010515163064,01051064,010515163064,Kuden,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,064,R,DEF05,010515163064,01051064,2008-01-01,604,DEBKGDL20000E0TM,False
6864,6,4,1,010515163089,01051089,010515163089,Quickborn,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,089,R,DEF05,010515163089,01051089,2008-01-01,184,DEBKGDL20000E2V0,False
6865,6,4,1,010515163097,01051097,010515163097,Sankt Michaelisdonn,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,097,R,DEF05,010515163097,01051097,2008-01-01,3518,DEBKGDL20000DZOV,False
8616,6,4,1,010515163110,01051110,010515163110,Süderhastedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,63,110,R,DEF05,010515163110,01051110,2008-01-01,867,DEBKGDL20000DZG3,False
11010,6,4,1,010515166021,01051021,010515166021,Diekhusen-Fahrstedt,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,021,R,DEF05,010515166021,01051021,2008-01-01,727,DEBKGDL20000DZWZ,False
125,6,2,1,010515166034,01051034,010515166034,Friedrichskoog,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,034,R,DEF05,010515166034,01051034,2008-01-01,0,DEBKGDL20000SRII,True
11487,6,4,1,010515166034,01051034,010515166034,Friedrichskoog,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,034,R,DEF05,010515166034,01051034,2008-01-01,2475,DEBKGDL20000DZQC,True
8613,6,4,1,010515166046,01051046,010515166046,Helse,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,046,R,DEF05,010515166046,01051046,2008-01-01,865,DEBKGDL20000E5IF,False
130,6,2,1,010515166057,01051057,010515166057,Kaiser-Wilhelm-Koog,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,057,R,DEF05,010515166057,01051057,2008-01-01,0,DEBKGDL20000Y0GM,True
11316,6,4,1,010515166057,01051057,010515166057,Kaiser-Wilhelm-Koog,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,057,R,DEF05,010515166057,01051057,2008-01-01,342,DEBKGDL20000DZZV,True
8614,6,4,1,010515166062,01051062,010515166062,Kronprinzenkoog,Gemeinde,64,gemeinschaftsangehörig,ja,01,0,51,51,66,062,R,DEF05,010515166062,01051062,2008-01-01,827,DEBKGDL20000E61N,False
11009,6,4,1,010515166072,01051072,010515166072,Marne,Stadt,63,gemeinschaftsangehörig,ja,01,0,51,51,66,072,R,DEF05,010515166072,01051072,2008-01-01,5590,DEBKGDL20000DZX0,False
