,# BBPlG 2013,Start,Start_address,Start_geometry,End,End_address,End_geometry,New,Retro,Int_start,Int_end,Short
0,1,Emden-Borssum,"Emden-Borssum, Birkenweg, Borssum, Emden, Niedersachsen, 26725, Deutschland",POINT (7.22428778316919 53.349817),"52.20189, 7.03448","Harberskamp, Morgensternsiedlung, Riekenhof, Gronau, Kreis Borken, Nordrhein-Westfalen, 48599, Deutschland",POINT (7.03585 52.2010851),1.0,,,1.0,
1,1,"52.20189, 7.03448","Harberskamp, Morgensternsiedlung, Riekenhof, Gronau, Kreis Borken, Nordrhein-Westfalen, 48599, Deutschland",POINT (7.03585 52.2010851),Osterath,"Osterath, Meerbusch, Rhein-Kreis Neuss, Nordrhein-Westfalen, 40670, Deutschland",POINT (6.6207151 51.2690922),1.0,,1.0,,
2,2,Osterath,"Osterath, Meerbusch, Rhein-Kreis Neuss, Nordrhein-Westfalen, 40670, Deutschland",POINT (6.6207151 51.2690922),Philippsburg,"Philippsburg, Verwaltungsverband Philippsburg, Landkreis Karlsruhe, Baden-Württemberg, 76661, Deutschland",POINT (8.4546679 49.2367495),1.0,,,,
3,3,Brunsbüttel,"Brunsbüttel, Dithmarschen, Schleswig-Holstein, Deutschland",POINT (9.1395423 53.8972549),Aub,"Aub, Verwaltungsgemeinschaft Aub, Landkreis Würzburg, Bayern, 97239, Deutschland",POINT (10.0652861 49.5524989),1.0,,,,
4,3,Aub,"Aub, Verwaltungsgemeinschaft Aub, Landkreis Würzburg, Bayern, 97239, Deutschland",POINT (10.0652861 49.5524989),Großgartach,"Großgartach, Leingarten, Landkreis Heilbronn, Baden-Württemberg, 74211, Deutschland",POINT (9.1258701 49.1425406),1.0,,,,
5,4,Wilster,"Wilster, Kreis Steinburg, Schleswig-Holstein, 25554, Deutschland",POINT (9.373378722135374 53.9232825),Grafenrheinfeld,"Grafenrheinfeld, Landkreis Schweinfurt, Bayern, 97506, Deutschland",POINT (10.1966808 50.0055317),1.0,,,,
6,5,Bad Lauchstädt,"Bad Lauchstädt, Lindenstraße, Lindenstraße, Kleinlauchstädt, Goethestadt Bad Lauchstädt, Saalekreis, Sachsen-Anhalt, 06246, Deutschland",POINT (11.8686979 51.3881334),Meitingen,"Meitingen, Landkreis Augsburg, Bayern, 86405, Deutschland",POINT (10.85 48.55),1.0,,,,
7,6,Conneforde,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland",POINT (8.0577591 53.3257698),Cloppenburg,"Cloppenburg, Landkreis Cloppenburg, Niedersachsen, 49661, Deutschland",POINT (8.0438783 52.8461339),,1.0,,,
8,6,Cloppenburg,"Cloppenburg, Landkreis Cloppenburg, Niedersachsen, 49661, Deutschland",POINT (8.0438783 52.8461339),Westerkappeln,"Westerkappeln, Kreis Steinfurt, Nordrhein-Westfalen, 49492, Deutschland",POINT (7.8772237 52.3141716),1.0,,,,
9,7,Stade,"Stade, Niedersachsen, 21680, Deutschland",POINT (9.475438 53.599794),Umspannwerk Sottrum,"Umspannwerk Sottrum, 1-9, Bremer Straße, Sottrum, Samtgemeinde Sottrum, Landkreis Rotenburg (Wümme), Niedersachsen, 27367, Deutschland",POINT (9.250423696835764 53.1150158),,1.0,,,
