AGS,GEN,treatment,treated_0,treated_10,treated_20,treated_30,treated_50,treated_100
08437105,Sigmaringendorf,None,0,0,0,0,0,0
08435010,Daisendorf,None,0,0,0,0,0,0
08426036,Dürnau,None,0,0,0,0,0,0
08436079,Waldburg,None,0,0,0,0,0,0
08436053,Königseggwald,None,0,0,0,0,0,0
08417075,Winterlingen,None,0,0,0,0,0,0
08437101,Scheer,None,0,0,0,0,0,0
08437008,Bingen,None,0,0,0,0,0,0
08437118,Wald,None,0,0,0,0,0,0
08436027,Eichstegen,None,0,0,0,0,0,0
08426109,Seekirch,None,0,0,0,0,0,0
08426067,Langenenslingen,None,0,0,0,0,0,0
08435045,Oberteuringen,None,0,0,0,0,0,0
08436019,Boms,None,0,0,0,0,0,0
08425036,Emerkingen,None,0,0,0,0,0,0
08436078,Vogt,None,0,0,0,0,0,0
08426073,Mietingen,None,0,0,0,0,0,0
08436047,Hoßkirch,None,0,0,0,0,0,0
08426006,Allmannsweiler,None,0,0,0,0,0,0
05382008,Bad Honnef,0,1,1,1,1,1,1
08437059,Inzigkofen,None,0,0,0,0,0,0
08435053,Sipplingen,None,0,0,0,0,0,0
08437047,Hettingen,None,0,0,0,0,0,0
08425052,Grundsheim,None,0,0,0,0,0,0
08435034,Markdorf,None,0,0,0,0,0,0
08426005,Alleshausen,None,0,0,0,0,0,0
08437104,Sigmaringen,None,0,0,0,0,0,0
08437124,Herdwangen-Schönach,None,0,0,0,0,0,0
08436005,Altshausen,None,0,0,0,0,0,0
08426014,Bad Schussenried,None,0,0,0,0,0,0
08437107,Stetten am kalten Markt,None,0,0,0,0,0,0
08436040,Guggenhausen,None,0,0,0,0,0,0
08435020,Heiligenberg,None,0,0,0,0,0,0
08436077,Unterwaldhausen,None,0,0,0,0,0,0
08436024,Ebenweiler,None,0,0,0,0,0,0
08437114,Veringenstadt,None,0,0,0,0,0,0
08426090,Oggelshausen,None,0,0,0,0,0,0
08436032,Fleischwangen,None,0,0,0,0,0,0
08425081,Munderkingen,None,0,0,0,0,0,0
08425124,Unterstadion,None,0,0,0,0,0,0
08436083,Wilhelmsdorf,None,0,0,0,0,0,0
08437086,Ostrach,None,0,0,0,0,0,0
09776130,Weißensberg,None,0,0,0,0,0,0
08435054,Stetten,None,0,0,0,0,0,0
08436096,Fronreute,None,0,0,0,0,0,0
08436087,Wolpertswende,None,0,0,0,0,0,0
08437088,Pfullendorf,None,0,0,0,0,0,0
08436067,Riedhausen,None,0,0,0,0,0,0
08425035,Emeringen,None,0,0,0,0,0,0
08426078,Moosburg,None,0,0,0,0,0,0
08435005,Bermatingen,None,0,0,0,0,0,0
08426120,Ummendorf,None,0,0,0,0,0,0
08437076,Mengen,None,0,0,0,0,0,0
03102000,Salzgitter,100,0,0,0,0,0,1
03158014,Flöthe,100,0,0,0,0,0,1
08437100,Bad Saulgau,None,0,0,0,0,0,0
08426118,Tiefenbach,None,0,0,0,0,0,0
08425123,Untermarchtal,None,0,0,0,0,0,0
08117020,Eschenbach,None,0,0,0,0,0,0
08118047,Löchgau,30,0,0,0,1,1,1
08119055,Plüderhausen,100,0,0,0,0,0,1
08125013,Brackenheim,10,0,1,1,1,1,1
08116072,Wernau (Neckar),None,0,0,0,0,0,0
08116054,Owen,None,0,0,0,0,0,0
08416009,Dettenhausen,None,0,0,0,0,0,0
08136034,Iggingen,None,0,0,0,0,0,0
08125008,Beilstein,50,0,0,0,0,1,1
08117031,Hohenstadt,None,0,0,0,0,0,0
08136066,Spraitbach,100,0,0,0,0,0,1
08125107,Wüstenrot,50,0,0,0,0,1,1
08125027,Erlenbach,10,0,1,1,1,1,1
08425134,Westerheim,None,0,0,0,0,0,0
08117035,Mühlhausen im Täle,None,0,0,0,0,0,0
08415014,Dettingen an der Erms,None,0,0,0,0,0,0
08136015,Durlangen,None,0,0,0,0,0,0
08415027,Gomadingen,None,0,0,0,0,0,0
08119018,Burgstetten,100,0,0,0,0,0,1
08116043,Neidlingen,None,0,0,0,0,0,0
08118046,Kornwestheim,100,0,0,0,0,0,1
08118074,Walheim,30,0,0,0,1,1,1
08425073,Lauterach,None,0,0,0,0,0,0
08116058,Reichenbach an der Fils,None,0,0,0,0,0,0
08118003,Asperg,50,0,0,0,0,1,1
08436013,Berg,None,0,0,0,0,0,0
08425090,Obermarchtal,None,0,0,0,0,0,0
09776117,Lindenberg i. Allgäu,None,0,0,0,0,0,0
08226048,Mauer,100,0,0,0,0,0,1
08426121,Unlingen,None,0,0,0,0,0,0
09776111,Bodolz,None,0,0,0,0,0,0
08426045,Ertingen,None,0,0,0,0,0,0
08426134,Schemmerhofen,None,0,0,0,0,0,0
14729260,Markkleeberg,100,0,0,0,0,0,1
08127009,Braunsbach,50,0,0,0,0,1,1
08116041,Neckartailfingen,None,0,0,0,0,0,0
08416025,Mössingen,None,0,0,0,0,0,0
08116081,Aichtal,None,0,0,0,0,0,0
08119091,Weinstadt,100,0,0,0,0,0,1
08425141,Blaustein,None,0,0,0,0,0,0
08136070,Täferrot,None,0,0,0,0,0,0
08117060,Zell unter Aichelberg,None,0,0,0,0,0,0
08118054,Murr,50,0,0,0,0,1,1
08425020,Blaubeuren,None,0,0,0,0,0,0
08117003,Albershausen,None,0,0,0,0,0,0
08116037,Lichtenwald,100,0,0,0,0,0,1
08119083,Weissach im Tal,100,0,0,0,0,0,1
08118010,Bönnigheim,20,0,0,1,1,1,1
08118040,Kirchheim am Neckar,20,0,0,1,1,1,1
08425084,Nellingen,None,0,0,0,0,0,0
08116049,Nürtingen,None,0,0,0,0,0,0
08117017,Dürnau,None,0,0,0,0,0,0
08415029,Grafenberg,None,0,0,0,0,0,0
08136065,Schwäbisch Gmünd,None,0,0,0,0,0,0
08116053,Ohmden,None,0,0,0,0,0,0
08415080,Wannweil,None,0,0,0,0,0,0
08118001,Affalterbach,100,0,0,0,0,0,1
08136020,Eschach,100,0,0,0,0,0,1
08117037,Ottenbach,None,0,0,0,0,0,0
08117009,Birenbach,None,0,0,0,0,0,0
08117001,Adelberg,None,0,0,0,0,0,0
08116016,Dettingen unter Teck,None,0,0,0,0,0,0
08116007,Baltmannsweiler,100,0,0,0,0,0,1
08119067,Schorndorf,100,0,0,0,0,0,1
08425050,Griesingen,None,0,0,0,0,0,0
08415092,Lichtenstein,None,0,0,0,0,0,0
08417013,Burladingen,None,0,0,0,0,0,0
08437082,Neufra,None,0,0,0,0,0,0
08116073,Wolfschlugen,None,0,0,0,0,0,0
08125065,Neckarsulm,0,1,1,1,1,1,1
08127062,Oberrot,100,0,0,0,0,0,1
08119079,Waiblingen,100,0,0,0,0,0,1
08119037,Kaisersbach,100,0,0,0,0,0,1
08119038,Kirchberg an der Murr,100,0,0,0,0,0,1
08116027,Hochdorf,None,0,0,0,0,0,0
08126069,Pfedelbach,30,0,0,0,1,1,1
08136079,Waldstetten,None,0,0,0,0,0,0
08117024,Geislingen an der Steige,None,0,0,0,0,0,0
08116048,Notzingen,None,0,0,0,0,0,0
08425079,Merklingen,None,0,0,0,0,0,0
08425071,Laichingen,None,0,0,0,0,0,0
08119053,Oppenweiler,50,0,0,0,0,1,1
08119008,Backnang,100,0,0,0,0,0,1
09779192,Niederschönenfeld,0,1,1,1,1,1,1
09178133,Hohenkammer,100,0,0,0,0,0,1
07340201,Althornbach,None,0,0,0,0,0,0
09175131,Oberpframmern,None,0,0,0,0,0,0
13075069,Kröslin,None,0,0,0,0,0,0
09772216,Welden,50,0,0,0,0,1,1
09771111,Adelzhausen,100,0,0,0,0,0,1
03352025,Ihlienworth,30,0,0,0,1,1,1
09174115,Dachau,100,0,0,0,0,0,1
09185163,Königsmoos,50,0,0,0,0,1,1
08136009,Böbingen an der Rems,None,0,0,0,0,0,0
08136045,Neresheim,100,0,0,0,0,0,1
08425137,Illerkirchberg,None,0,0,0,0,0,0
09774119,Bibertal,100,0,0,0,0,0,1
09571200,Schopfloch,100,0,0,0,0,0,1
08326037,Mönchweiler,None,0,0,0,0,0,0
08336008,Binzen,None,0,0,0,0,0,0
08315050,Heitersheim,None,0,0,0,0,0,0
07340010,Erlenbach bei Dahn,100,0,0,0,0,0,1
08315008,Ballrechten-Dottingen,None,0,0,0,0,0,0
08335055,Moos,None,0,0,0,0,0,0
07334013,Kandel,50,0,0,0,0,1,1
08327004,Bärenthal,None,0,0,0,0,0,0
08237027,Eutingen im Gäu,None,0,0,0,0,0,0
08315006,Bad Krozingen,None,0,0,0,0,0,0
08316010,Elzach,None,0,0,0,0,0,0
08417022,Geislingen,None,0,0,0,0,0,0
08317098,Oppenau,None,0,0,0,0,0,0
08236076,Königsbach-Stein,100,0,0,0,0,0,1
08125007,Bad Wimpfen,10,0,1,1,1,1,1
08315070,Löffingen,None,0,0,0,0,0,0
09174146,Sulzemoos,100,0,0,0,0,0,1
09177116,Eitting,None,0,0,0,0,0,0
09375199,Sinzing,None,0,0,0,0,0,0
09185158,Schrobenhausen,50,0,0,0,0,1,1
09577114,Muhr a. See,50,0,0,0,0,1,1
09771169,Todtenweis,10,0,1,1,1,1,1
09377148,Pullenreuth,100,0,0,0,0,0,1
09772117,Aystetten,50,0,0,0,0,1,1
09772207,Thierhaupten,10,0,1,1,1,1,1
08415034,Hayingen,None,0,0,0,0,0,0
09375148,Hemau,100,0,0,0,0,0,1
09185113,Aresing,100,0,0,0,0,0,1
09375122,Brunn,None,0,0,0,0,0,0
09773125,Dillingen a.d. Donau,50,0,0,0,0,1,1
09774160,Münsterhausen,100,0,0,0,0,0,1
08425097,Rammingen,100,0,0,0,0,0,1
08136028,Heubach,None,0,0,0,0,0,0
09779147,Fremdingen,100,0,0,0,0,0,1
09178140,Marzling,None,0,0,0,0,0,0
09178130,Hallbergmoos,None,0,0,0,0,0,0
09186147,Reichertshofen,100,0,0,0,0,0,1
09375156,Kallmünz,None,0,0,0,0,0,0
09771140,Hollenbach,30,0,0,0,1,1,1
09176150,Oberdolling,100,0,0,0,0,0,1
09772185,Nordendorf,10,0,1,1,1,1,1
09273115,Attenhofen,None,0,0,0,0,0,0
09178125,Gammelsdorf,None,0,0,0,0,0,0
05766048,Leopoldshöhe,None,0,0,0,0,0,0
12072014,Baruth/Mark,None,0,0,0,0,0,0
08236070,Keltern,100,0,0,0,0,0,1
